# HOLES(7),# OF HOLES,# OF PUTTS,# OF SHOTS(5),%(11),%(4),%(7),AVG,AVG DTP(5),AVG(0),AVG(1),AVG(10),AVG(12),AVG(13),AVG(2),AVG(3),AVG(6),AVG(8),AVG(9),BIRDIE CONVERSION,FAIRWAYS HIT(11),GIR PUTTS,GREENS HIT,GREENS HIT(7),LOW TOTAL PUTTS,MEASURED ROUNDS(1),MEASURED ROUNDS(12),MEASURED ROUNDS(2),MEASURED ROUNDS(3),MEASURED ROUNDS(6),MEASURED ROUNDS(8),MEASURED ROUNDS(9),MISSED GIR(4),MOVEMENT,MOVEMENT(1),MOVEMENT(10),MOVEMENT(11),MOVEMENT(12),MOVEMENT(13),MOVEMENT(14),MOVEMENT(2),MOVEMENT(3),MOVEMENT(4),MOVEMENT(5),MOVEMENT(6),MOVEMENT(7),MOVEMENT(8),MOVEMENT(9),PAR OR BETTER(4),PLAYER,PLAYER_ID,POSSIBLE FAIRWAYS(11),RANK,RANK(0),RANK(1),RANK(10),RANK(11),RANK(12),RANK(13),RANK(2),RANK(3),RANK(4),RANK(5),RANK(6),RANK(7),RANK(8),RANK(9),RELATIVE/PAR(7),SCRAMBLING RANK(5),SG:APR(8),SG:ARG(8),SG:OTT(8),TOTAL ADJUSTMENT(0),TOTAL DISTANCE (FEET)(5),TOTAL DISTANCE(10),TOTAL DRIVES(10),TOTAL PUTTS,TOTAL ROUNDS,TOTAL ROUNDS(0),TOTAL ROUNDS(13),TOTAL SG:APP(6),TOTAL SG:ARG(3),TOTAL SG:OTT(9),TOTAL SG:P(12),TOTAL SG:PUTTING(1),TOTAL SG:PUTTING(2),TOTAL SG:T(12),TOTAL SG:T2G(12),TOTAL STROKES(0),TOTAL STROKES(13)
1008.0,1080.0,1747.0,329.0,49.61%,54.32%,64.38%,1.618,"8' 10""",70.843,0.271,309.3,0.055,70.64,0.271,-0.29,0.033,-0.216,0.04,31.64%,383.0,1207.0,690.0,649.0,25.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,359.0,4.0,-17.0,-9.0,-2.0,-2.0,11.0,11.0,-17.0,3.0,-2.0,0.0,12.0,4.0,9.0,-11.0,195.0,Ryan Fox,29936,772.0,121.0,72.0,49.0,23.0,174.0,100.0,143.0,49.0,156.0,167.0,168.0,96.0,132.0,127.0,92.0,-0.31,167.0,0.033,-0.29,0.04,11.19,2895.417,34638.0,112.0,1747.0,60.0,56.0,56.0,1.691,-14.778,2.065,13.84,13.84,13.84,2.819,-11.02,3956.0,3956.0
,612.0,976.0,,,,,1.595,,,,,,,,,,,,31.91%,,744.0,425.0,,23.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,Henrik Norlander,30163,,57.0,,,,,,,,,,,,,,,,,,,,,,,,976.0,34.0,,,,,,,,,,,,
1026.0,1062.0,1705.0,355.0,70.18%,66.28%,66.76%,1.605,"8' 0""",70.385,0.151,298.3,0.681,69.89,0.151,0.259,0.003,0.53,0.268,30.16%,560.0,1247.0,704.0,685.0,21.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,341.0,-11.0,-17.0,3.0,-1.0,0.0,12.0,5.0,-17.0,-3.0,1.0,-15.0,7.0,18.0,8.0,4.0,226.0,Tommy Fleetwood,30911,798.0,87.0,27.0,66.0,97.0,5.0,35.0,54.0,66.0,28.0,9.0,138.0,104.0,70.0,41.0,47.0,-0.29,9.0,0.003,0.259,0.268,27.966,2850.0,34004.0,114.0,1705.0,59.0,57.0,57.0,0.136,13.444,13.96,7.85,7.85,7.85,35.404,27.555,3984.0,3984.0
990.0,1062.0,1694.0,351.0,63.31%,59.71%,64.65%,1.595,"7' 5""",71.077,-0.427,296.6,0.179,70.24,-0.427,0.128,0.19,0.606,0.288,31.33%,490.0,1195.0,684.0,640.0,24.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,350.0,-8.0,-3.0,-8.0,4.0,0.0,-10.0,-2.0,-3.0,0.0,3.0,-2.0,5.0,-6.0,0.0,-1.0,209.0,Chris Kirk,30926,774.0,57.0,93.0,157.0,117.0,51.0,85.0,98.0,157.0,64.0,95.0,68.0,65.0,128.0,38.0,44.0,-0.3,95.0,0.19,0.128,0.288,49.529,2593.583,32625.0,110.0,1694.0,59.0,59.0,59.0,9.503,6.402,14.404,-21.36,-21.36,-21.36,8.962,30.323,4144.0,4144.0
1278.0,1350.0,2129.0,467.0,69.90%,61.64%,63.69%,1.577,"7' 1""",71.119,0.33,279.0,-0.018,70.39,0.33,0.317,-0.175,-0.348,-0.49,30.97%,692.0,1492.0,860.0,814.0,20.0,70.0,70.0,70.0,70.0,70.0,70.0,70.0,464.0,-1.0,8.0,-3.0,2.0,3.0,4.0,7.0,8.0,-1.0,2.0,-12.0,-5.0,1.0,-4.0,-1.0,286.0,Brendon Todd,30927,990.0,21.0,98.0,36.0,176.0,6.0,108.0,115.0,36.0,20.0,61.0,31.0,125.0,145.0,142.0,162.0,-0.29,61.0,-0.175,0.317,-0.49,51.432,3289.667,39614.0,142.0,2129.0,75.0,71.0,71.0,-12.226,22.175,-34.3,23.081,23.081,23.081,-1.27,-24.352,4998.0,4998.0
936.0,1008.0,1648.0,328.0,51.81%,49.86%,62.71%,1.635,"9' 4""",71.651,-0.178,312.5,-0.687,71.38,-0.178,-0.389,-0.057,-0.509,-0.063,31.10%,372.0,1116.0,629.0,587.0,23.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,349.0,-2.0,-26.0,-1.0,-2.0,0.0,-2.0,4.0,-26.0,2.0,-2.0,-2.0,-5.0,6.0,3.0,5.0,174.0,Gary Woodland,31323,718.0,151.0,152.0,129.0,8.0,170.0,156.0,170.0,129.0,166.0,177.0,176.0,112.0,158.0,151.0,113.0,-0.29,177.0,-0.057,-0.389,-0.063,13.874,3070.75,32496.0,104.0,1648.0,56.0,52.0,52.0,-2.778,-19.075,-3.1,-8.746,-8.746,-8.746,-33.685,-24.939,3712.0,3712.0
1170.0,1242.0,2006.0,392.0,63.55%,56.37%,65.13%,1.615,"8' 8""",71.35,0.083,290.9,-0.136,70.8,0.083,-0.489,0.257,-0.218,0.014,29.51%,577.0,1415.0,806.0,762.0,23.0,61.0,61.0,61.0,61.0,61.0,61.0,61.0,408.0,-7.0,-12.0,-6.0,-7.0,-5.0,0.0,1.0,-12.0,1.0,-7.0,-2.0,-5.0,-2.0,-5.0,3.0,230.0,Emiliano Grillo,31646,908.0,112.0,123.0,81.0,155.0,49.0,121.0,155.0,81.0,170.0,147.0,165.0,57.0,119.0,128.0,96.0,-0.29,147.0,0.257,-0.489,0.014,35.723,3396.417,37815.0,130.0,2006.0,69.0,65.0,65.0,15.648,-29.842,0.866,5.04,5.04,5.04,-8.276,-13.316,4602.0,4602.0
684.0,684.0,1124.0,167.0,59.35%,57.41%,68.42%,1.643,"8' 1""",71.557,-0.243,305.1,-0.738,70.58,-0.243,-0.337,0.001,-0.495,-0.159,30.47%,311.0,839.0,468.0,468.0,25.0,29.0,29.0,29.0,29.0,29.0,29.0,29.0,216.0,-1.0,-8.0,3.0,4.0,-14.0,-22.0,-30.0,-8.0,-8.0,2.0,7.0,-28.0,-15.0,-23.0,-15.0,124.0,Rafael Campos,32070,524.0,161.0,147.0,138.0,43.0,109.0,160.0,136.0,138.0,159.0,136.0,142.0,105.0,36.0,150.0,127.0,-0.27,136.0,0.001,-0.337,-0.159,37.148,1343.333,22879.0,75.0,1124.0,38.0,38.0,38.0,0.015,-9.764,-4.599,-7.059,-7.059,-7.059,-21.404,-14.348,2682.0,2682.0
1098.0,1170.0,1878.0,362.0,60.28%,58.35%,63.48%,1.605,"7' 7""",72.022,-0.043,298.2,-0.689,71.2,-0.043,-0.05,-0.296,-0.647,-0.301,29.85%,516.0,1308.0,738.0,697.0,24.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,401.0,-14.0,3.0,-4.0,-12.0,-2.0,-4.0,-2.0,3.0,-3.0,-3.0,-2.0,-9.0,-12.0,-5.0,-2.0,234.0,Rickie Fowler,32102,856.0,87.0,166.0,109.0,99.0,100.0,157.0,167.0,109.0,110.0,111.0,83.0,134.0,149.0,155.0,146.0,-0.27,111.0,-0.296,-0.05,-0.301,52.39,2758.75,36378.0,122.0,1878.0,65.0,64.0,64.0,-16.558,-2.801,-16.877,-2.39,-2.39,-2.39,-38.61,-36.219,4557.0,4557.0
792.0,864.0,1389.0,240.0,62.29%,63.22%,67.05%,1.608,"6' 7""",70.626,-0.254,297.4,0.269,69.73,-0.254,0.395,0.168,0.523,-0.041,30.28%,375.0,1011.0,570.0,531.0,24.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,261.0,-6.0,-8.0,2.0,4.0,11.0,12.0,16.0,-8.0,-3.0,5.0,4.0,13.0,38.0,10.0,1.0,165.0,Jorge Campillo,32367,602.0,96.0,49.0,140.0,108.0,65.0,76.0,39.0,140.0,11.0,38.0,5.0,70.0,58.0,42.0,109.0,-0.28,38.0,0.168,0.395,-0.041,39.551,1581.667,25870.0,87.0,1389.0,48.0,44.0,44.0,6.393,15.027,-1.544,-9.64,-9.64,-9.64,10.238,19.877,3068.0,3068.0
972.0,972.0,1553.0,294.0,66.13%,60.73%,65.95%,1.598,"6' 10""",71.222,-0.148,292.7,0.066,70.0,-0.148,0.117,0.263,0.214,-0.166,32.76%,496.0,1118.0,641.0,641.0,23.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,331.0,0.0,-2.0,2.0,3.0,-8.0,-10.0,-10.0,-2.0,-11.0,-2.0,1.0,14.0,-7.0,3.0,-7.0,201.0,Troy Merritt,32640,750.0,67.0,105.0,119.0,144.0,24.0,98.0,66.0,119.0,66.0,77.0,13.0,55.0,96.0,72.0,129.0,-0.31,77.0,0.263,0.117,-0.166,69.676,2003.25,31614.0,108.0,1553.0,54.0,57.0,57.0,11.828,5.256,-7.456,-6.661,-6.661,-6.661,2.967,9.627,3990.0,3990.0
684.0,684.0,1120.0,164.0,61.74%,59.47%,72.22%,1.637,"7' 7""",71.265,-0.383,300.2,0.03,69.78,-0.383,-0.108,0.557,0.413,-0.036,32.32%,326.0,868.0,494.0,494.0,25.0,32.0,32.0,32.0,32.0,32.0,32.0,32.0,190.0,-1.0,-7.0,17.0,-7.0,5.0,-1.0,-10.0,-7.0,9.0,-29.0,-2.0,0.0,0.0,4.0,5.0,113.0,Patton Kizzire,32757,528.0,155.0,116.0,153.0,81.0,74.0,102.0,45.0,153.0,124.0,101.0,83.0,11.0,4.0,58.0,108.0,-0.3,101.0,0.557,-0.108,-0.036,60.873,1241.167,22518.0,75.0,1120.0,38.0,41.0,41.0,17.816,-3.462,-1.139,-12.248,-12.248,-12.248,0.968,13.216,2861.0,2861.0
828.0,828.0,1322.0,270.0,62.72%,62.16%,64.25%,1.597,"7' 1""",71.006,0.053,300.4,-0.091,70.08,0.053,0.136,-0.318,-0.145,0.038,29.94%,397.0,939.0,532.0,532.0,22.0,41.0,41.0,41.0,41.0,41.0,41.0,41.0,296.0,0.0,-10.0,-1.0,-2.0,-17.0,-19.0,-9.0,-10.0,-4.0,-2.0,-1.0,-9.0,-6.0,-12.0,-6.0,184.0,K.H. Lee,32791,633.0,63.0,89.0,87.0,78.0,60.0,116.0,75.0,87.0,60.0,52.0,31.0,140.0,135.0,115.0,93.0,-0.28,52.0,-0.318,0.136,0.038,46.292,1919.75,27633.0,92.0,1322.0,46.0,50.0,50.0,-13.045,5.564,1.55,2.181,2.181,2.181,-3.748,-5.93,3504.0,3504.0
1026.0,1098.0,1748.0,349.0,60.25%,68.90%,66.47%,1.592,"7' 0""",70.232,-0.23,297.3,1.283,69.7,-0.23,0.819,0.365,1.513,0.329,29.94%,482.0,1283.0,724.0,682.0,22.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,344.0,-18.0,-14.0,-7.0,0.0,-3.0,1.0,-3.0,-14.0,0.0,1.0,16.0,2.0,-6.0,0.0,-1.0,237.0,Hideki Matsuyama,32839,800.0,52.0,17.0,136.0,112.0,101.0,7.0,32.0,136.0,1.0,2.0,24.0,31.0,78.0,4.0,39.0,-0.29,2.0,0.365,0.819,0.329,30.239,2450.0,33893.0,114.0,1748.0,61.0,57.0,57.0,18.609,41.75,16.798,-11.749,-11.749,-11.749,65.42,77.17,3973.0,3973.0
1026.0,1062.0,1717.0,318.0,62.13%,54.97%,66.67%,1.617,"8' 3""",70.798,-0.081,302.4,0.384,70.46,-0.081,-0.021,0.305,0.465,0.181,32.29%,497.0,1229.0,703.0,684.0,24.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,342.0,-8.0,0.0,-6.0,5.0,0.0,-8.0,0.0,0.0,3.0,-3.0,-3.0,-5.0,-9.0,-6.0,2.0,188.0,Keegan Bradley,33141,800.0,117.0,63.0,113.0,60.0,67.0,62.0,124.0,113.0,100.0,161.0,152.0,48.0,72.0,53.0,59.0,-0.31,161.0,0.305,-0.021,0.181,19.482,2618.167,34475.0,114.0,1717.0,59.0,57.0,57.0,15.566,-1.073,9.223,-4.122,-4.122,-4.122,19.591,23.713,4016.0,4016.0
936.0,1008.0,1633.0,290.0,67.72%,57.88%,66.77%,1.62,"7' 8""",70.471,-0.029,297.8,0.797,70.2,-0.029,-0.035,0.584,0.826,0.276,32.24%,493.0,1181.0,675.0,625.0,24.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,311.0,-1.0,-4.0,-7.0,0.0,1.0,-7.0,-2.0,-4.0,1.0,-4.0,-3.0,0.0,-7.0,1.0,0.0,180.0,Shane Lowry,33204,728.0,126.0,33.0,106.0,103.0,16.0,27.0,90.0,106.0,105.0,125.0,97.0,10.0,69.0,18.0,46.0,-0.29,125.0,0.584,-0.035,0.276,14.925,2232.0,30968.0,104.0,1633.0,56.0,55.0,55.0,27.463,-1.622,12.979,-1.354,-1.354,-1.354,37.477,38.834,3861.0,3861.0
1026.0,1062.0,1681.0,351.0,61.59%,58.31%,64.23%,1.583,"8' 1""",70.85,0.07,296.0,0.25,70.18,0.07,0.048,0.138,0.18,-0.007,32.60%,489.0,1183.0,679.0,659.0,23.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,367.0,-11.0,16.0,-2.0,3.0,5.0,17.0,12.0,16.0,-20.0,13.0,-19.0,9.0,7.0,-6.0,-7.0,214.0,Adam Hadwin,33399,794.0,34.0,75.0,82.0,119.0,76.0,79.0,85.0,82.0,82.0,114.0,142.0,76.0,136.0,82.0,104.0,-0.31,114.0,0.138,0.048,-0.007,40.876,2824.5,33749.0,114.0,1681.0,59.0,61.0,61.0,7.188,2.52,-0.341,3.651,3.651,3.651,13.016,9.364,4281.0,4281.0
882.0,882.0,1399.0,295.0,54.42%,57.91%,62.02%,1.586,"8' 3""",71.895,0.458,302.0,-0.388,70.92,0.458,0.027,-0.309,-0.846,-0.563,34.55%,369.0,948.0,547.0,547.0,23.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,335.0,6.0,-4.0,2.0,-6.0,-5.0,0.0,-1.0,-4.0,-3.0,-1.0,3.0,12.0,-7.0,1.0,1.0,194.0,Tyson Alexander,33408,678.0,40.0,161.0,21.0,67.0,158.0,143.0,160.0,21.0,86.0,123.0,152.0,136.0,166.0,164.0,166.0,-0.32,123.0,-0.309,0.027,-0.563,50.543,2444.667,29593.0,98.0,1399.0,49.0,52.0,52.0,-13.595,1.176,-24.788,20.149,20.149,20.149,-17.058,-37.209,3688.0,3688.0
756.0,756.0,1213.0,187.0,61.30%,60.40%,66.93%,1.604,"7' 6""",71.161,0.009,294.5,0.124,70.28,0.009,-0.255,0.434,0.115,-0.065,28.46%,358.0,893.0,506.0,506.0,22.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,250.0,1.0,-5.0,-2.0,1.0,-1.0,-6.0,-5.0,-5.0,-1.0,2.0,-5.0,0.0,-8.0,-3.0,-4.0,151.0,Ben Martin,33413,584.0,82.0,104.0,97.0,128.0,79.0,90.0,100.0,97.0,150.0,85.0,76.0,23.0,60.0,87.0,114.0,-0.27,85.0,0.434,-0.255,-0.065,40.412,1398.333,24735.0,84.0,1213.0,42.0,46.0,46.0,14.337,-8.428,-2.137,0.306,0.306,0.306,4.094,3.786,3233.0,3233.0
846.0,918.0,1465.0,310.0,56.00%,61.22%,65.25%,1.596,"7' 3""",70.331,-0.399,307.6,0.714,69.75,-0.399,0.434,0.517,1.112,0.161,32.72%,364.0,1039.0,595.0,552.0,23.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0,294.0,1.0,3.0,-4.0,-6.0,-7.0,1.0,-8.0,3.0,-2.0,10.0,5.0,-8.0,-2.0,-5.0,-6.0,180.0,Justin Thomas,33448,650.0,60.0,25.0,154.0,31.0,144.0,34.0,40.0,154.0,5.0,67.0,47.0,16.0,117.0,12.0,65.0,-0.3,67.0,0.517,0.434,0.161,29.864,2241.583,28911.0,94.0,1465.0,51.0,51.0,51.0,22.743,19.112,7.087,-17.537,-17.537,-17.537,31.401,48.939,3557.0,3557.0
720.0,720.0,1165.0,213.0,62.73%,63.29%,67.08%,1.618,"7' 2""",71.707,0.171,291.1,0.019,70.44,0.171,0.304,0.019,-0.152,-0.475,29.11%,345.0,858.0,483.0,483.0,21.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,237.0,-2.0,3.0,1.0,6.0,-2.0,1.0,-2.0,3.0,-10.0,-6.0,0.0,13.0,23.0,-3.0,-2.0,150.0,Roger Sloan,33486,550.0,121.0,156.0,62.0,151.0,59.0,104.0,121.0,62.0,21.0,35.0,40.0,99.0,55.0,118.0,161.0,-0.26,35.0,0.019,0.304,-0.475,54.39,1527.333,23291.0,80.0,1165.0,40.0,43.0,43.0,0.632,10.036,-15.67,5.638,5.638,5.638,0.638,-5.0,3029.0,3029.0
1026.0,1026.0,1608.0,366.0,60.08%,60.98%,64.04%,1.567,"7' 11""",70.452,0.61,301.0,0.398,69.88,0.61,-0.237,-0.119,-0.211,0.144,34.35%,471.0,1136.0,657.0,657.0,23.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0,369.0,0.0,0.0,-8.0,-1.0,8.0,11.0,7.0,0.0,-2.0,21.0,-15.0,2.0,7.0,5.0,5.0,225.0,Thomas Detry,33653,784.0,16.0,31.0,6.0,75.0,103.0,59.0,53.0,6.0,148.0,73.0,129.0,120.0,138.0,126.0,72.0,-0.32,73.0,-0.119,-0.237,0.144,34.112,2889.417,34317.0,114.0,1608.0,57.0,60.0,60.0,-6.544,-13.023,7.917,33.538,33.538,33.538,21.904,-11.632,4193.0,4193.0
1062.0,1134.0,1816.0,337.0,54.71%,56.97%,68.93%,1.601,"7' 4""",70.664,-0.056,313.9,0.633,69.98,-0.056,-0.024,0.284,0.689,0.429,35.41%,453.0,1338.0,771.0,732.0,24.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,330.0,15.0,-5.0,-1.0,-7.0,-5.0,-1.0,-2.0,-5.0,6.0,0.0,2.0,-7.0,-7.0,-1.0,-2.0,188.0,Byeong Hun An,33948,828.0,75.0,51.0,111.0,5.0,154.0,39.0,61.0,111.0,103.0,141.0,56.0,53.0,25.0,25.0,18.0,-0.32,141.0,0.284,-0.024,0.429,40.16,2463.0,37041.0,118.0,1816.0,63.0,59.0,59.0,15.332,-1.292,23.186,-3.021,-3.021,-3.021,34.204,37.225,4129.0,4129.0
756.0,828.0,1329.0,256.0,54.69%,57.72%,64.02%,1.605,"7' 4""",71.036,0.322,302.1,0.137,70.45,0.322,0.218,-0.049,-0.185,-0.354,32.95%,315.0,917.0,525.0,484.0,23.0,38.0,38.0,38.0,38.0,38.0,38.0,38.0,272.0,-7.0,4.0,2.0,-4.0,8.0,23.0,16.0,4.0,10.0,3.0,10.0,-7.0,3.0,-1.0,3.0,157.0,Thorbjørn Olesen,33968,576.0,87.0,91.0,38.0,65.0,155.0,88.0,122.0,38.0,41.0,129.0,56.0,110.0,139.0,123.0,153.0,-0.3,129.0,-0.049,0.218,-0.354,24.511,1867.667,25378.0,84.0,1329.0,46.0,42.0,42.0,-1.859,8.268,-13.44,12.236,12.236,12.236,5.206,-7.03,2959.0,2959.0
1080.0,1152.0,1830.0,374.0,62.86%,55.31%,66.85%,1.589,"7' 10""",70.784,0.062,306.5,0.528,70.13,0.062,0.049,-0.085,0.466,0.502,33.86%,528.0,1304.0,761.0,722.0,23.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,358.0,6.0,-12.0,-2.0,-5.0,-2.0,-4.0,1.0,-12.0,11.0,-3.0,3.0,-10.0,-6.0,-4.0,0.0,198.0,Jordan Spieth,34046,840.0,46.0,60.0,84.0,34.0,58.0,44.0,81.0,84.0,80.0,158.0,120.0,116.0,64.0,52.0,15.0,-0.32,158.0,-0.085,0.049,0.502,39.06,2929.917,36777.0,120.0,1830.0,64.0,60.0,60.0,-4.846,2.797,28.6,3.551,3.551,3.551,30.101,26.549,4208.0,4208.0
1044.0,1044.0,1720.0,278.0,65.26%,60.59%,70.59%,1.648,"7' 9""",71.258,-0.548,292.9,0.067,70.13,-0.548,-0.191,0.454,0.615,0.351,28.77%,526.0,1318.0,737.0,737.0,24.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,307.0,-1.0,1.0,1.0,3.0,0.0,-3.0,-5.0,1.0,-1.0,6.0,-28.0,-3.0,0.0,-8.0,-1.0,186.0,Joel Dahmen,34076,806.0,164.0,114.0,167.0,141.0,29.0,97.0,81.0,167.0,142.0,80.0,109.0,19.0,9.0,36.0,33.0,-0.25,80.0,0.454,-0.191,0.351,68.761,2150.25,33977.0,116.0,1720.0,58.0,61.0,61.0,22.255,-9.336,17.199,-26.846,-26.846,-26.846,3.287,30.133,4278.0,4278.0
1026.0,1098.0,1708.0,353.0,68.95%,64.31%,64.23%,1.556,"7' 0""",70.435,0.335,288.4,0.982,69.98,0.335,0.286,0.379,0.647,-0.019,31.41%,553.0,1224.0,710.0,659.0,22.0,52.0,52.0,52.0,52.0,52.0,52.0,52.0,367.0,-2.0,-1.0,-2.0,2.0,1.0,-7.0,-5.0,-1.0,0.0,-4.0,1.0,2.0,-4.0,1.0,-1.0,236.0,Russell Henley,34098,802.0,10.0,30.0,34.0,162.0,10.0,16.0,61.0,34.0,23.0,26.0,24.0,30.0,136.0,32.0,105.0,-0.31,26.0,0.379,0.286,-0.019,25.823,2483.833,32877.0,114.0,1708.0,61.0,57.0,57.0,19.722,14.887,-0.991,17.426,17.426,17.426,51.044,33.618,3989.0,3989.0
1170.0,1242.0,1964.0,415.0,64.51%,62.50%,65.13%,1.581,"7' 9""",70.743,0.55,300.0,0.473,70.18,0.55,0.0,-0.233,-0.078,0.155,31.49%,587.0,1394.0,797.0,762.0,23.0,59.0,59.0,59.0,59.0,59.0,59.0,59.0,408.0,13.0,-3.0,-1.0,1.0,1.0,16.0,16.0,-3.0,-1.0,3.0,-5.0,7.0,16.0,9.0,0.0,255.0,Harris English,34099,910.0,29.0,55.0,14.0,83.0,39.0,49.0,85.0,14.0,93.0,46.0,109.0,128.0,119.0,108.0,69.0,-0.3,46.0,-0.233,0.0,0.155,36.28,3231.5,38994.0,130.0,1964.0,69.0,65.0,65.0,-13.754,-0.006,9.158,32.473,32.473,32.473,27.884,-4.59,4562.0,4562.0
684.0,684.0,1083.0,240.0,63.72%,57.20%,62.43%,1.583,"7' 5""",71.374,-0.038,303.5,0.306,70.8,-0.038,0.058,0.087,0.344,0.199,34.66%,339.0,745.0,427.0,427.0,22.0,33.0,33.0,33.0,33.0,33.0,33.0,33.0,257.0,3.0,-3.0,-3.0,1.0,3.0,-3.0,-1.0,-3.0,2.0,-6.0,-2.0,-5.0,-5.0,-1.0,-1.0,147.0,Grayson Murray,34213,532.0,34.0,128.0,107.0,51.0,47.0,70.0,155.0,107.0,77.0,138.0,68.0,84.0,162.0,62.0,57.0,-0.32,138.0,0.087,0.058,0.199,23.341,1788.0,23064.0,76.0,1083.0,38.0,41.0,41.0,2.877,1.913,6.552,-1.268,-1.268,-1.268,10.085,11.354,2903.0,2903.0
936.0,936.0,1537.0,310.0,52.37%,61.79%,67.84%,1.642,"7' 9""",70.979,-0.18,309.4,0.181,70.15,-0.18,0.132,-0.017,0.361,0.246,29.81%,375.0,1141.0,635.0,635.0,25.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0,301.0,-1.0,-11.0,2.0,-3.0,-4.0,-12.0,-9.0,-11.0,0.0,-8.0,-5.0,-7.0,-3.0,-2.0,0.0,186.0,Joseph Bramlett,34255,716.0,158.0,84.0,130.0,21.0,168.0,83.0,84.0,130.0,61.0,56.0,109.0,107.0,46.0,61.0,50.0,-0.26,56.0,-0.017,0.132,0.246,45.827,2399.25,32174.0,104.0,1537.0,52.0,55.0,55.0,-0.814,6.451,12.075,-8.822,-8.822,-8.822,8.891,17.712,3858.0,3858.0
1026.0,1026.0,1623.0,374.0,65.66%,63.98%,66.18%,1.582,"7' 4""",71.234,0.355,281.6,0.061,70.2,0.355,0.239,0.035,-0.295,-0.568,29.31%,524.0,1190.0,679.0,679.0,23.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0,347.0,1.0,-6.0,-4.0,-4.0,-7.0,-7.0,0.0,-6.0,7.0,-4.0,2.0,4.0,0.0,-2.0,-5.0,222.0,Andrew Putnam,34256,798.0,33.0,109.0,31.0,174.0,27.0,99.0,90.0,31.0,35.0,30.0,56.0,94.0,90.0,136.0,169.0,-0.27,30.0,0.035,0.239,-0.568,63.278,2737.25,32099.0,114.0,1623.0,57.0,61.0,61.0,1.939,13.363,-31.808,19.904,19.904,19.904,3.41,-16.495,4282.0,4282.0
648.0,684.0,1081.0,239.0,66.19%,64.80%,61.42%,1.58,"8' 1""",71.244,0.605,275.7,-0.427,70.35,0.605,-0.266,-0.201,-1.032,-0.565,27.43%,327.0,727.0,412.0,398.0,25.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,250.0,-4.0,-4.0,-2.0,-4.0,-12.0,-10.0,-9.0,-4.0,-1.0,-1.0,1.0,-4.0,-5.0,0.0,-4.0,162.0,Alexander Björk,34310,494.0,27.0,113.0,8.0,177.0,23.0,144.0,109.0,8.0,154.0,21.0,142.0,127.0,168.0,167.0,168.0,-0.26,21.0,-0.201,-0.266,-0.565,35.769,1922.833,19853.0,72.0,1081.0,38.0,40.0,40.0,-7.051,-9.323,-19.76,21.192,21.192,21.192,-14.942,-36.135,2814.0,2814.0
702.0,702.0,1127.0,210.0,53.26%,57.81%,63.53%,1.605,"7' 9""",72.282,-0.174,302.1,-1.717,71.09,-0.174,-0.032,-0.412,-1.543,-1.099,27.80%,286.0,804.0,446.0,446.0,23.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0,256.0,1.0,2.0,0.0,-1.0,-2.0,-7.0,-4.0,2.0,-9.0,-20.0,-15.0,-22.0,-9.0,-5.0,-3.0,148.0,Erik Barnes,34374,537.0,87.0,170.0,127.0,65.0,164.0,173.0,165.0,127.0,104.0,126.0,109.0,160.0,148.0,175.0,177.0,-0.24,126.0,-0.412,-0.032,-1.099,51.107,1635.917,23260.0,77.0,1127.0,39.0,43.0,43.0,-14.003,-1.08,-37.37,-5.914,-5.914,-5.914,-58.364,-52.451,3057.0,3057.0
