PLAYER_ID,RANK,MOVEMENT,PLAYER,AVG,TOTAL SG:T,TOTAL SG:T2G,TOTAL SG:P,MEASURED ROUNDS,TOTAL SG:PUTTING,TOTAL STROKES,TOTAL ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,TOTAL ADJUSTMENT,TOTAL SG:APP,AVG DTP,TOTAL DISTANCE (FEET),# OF SHOTS,SCRAMBLING RANK,TOTAL SG:OTT,SG:OTT,SG:APR,SG:ARG,PAR OR BETTER,MISSED GIR,TOTAL DISTANCE,TOTAL DRIVES,TOTAL SG:ARG,FAIRWAYS HIT,POSSIBLE FAIRWAYS
33141,62,0,Keegan Bradley,0.384,19.591,23.713,-4.122,51.0,-4.122,4016.0,57.0,66.67%,684.0,1026.0,-0.31,19.482,15.566,"8' 3""",2618.167,318.0,161.0,9.223,0.181,0.305,-0.021,188.0,342.0,34475.0,114.0,-1.073,497.0,800.0
33204,27,1,Shane Lowry,0.797,37.477,38.834,-1.354,47.0,-1.354,3861.0,55.0,66.77%,625.0,936.0,-0.29,14.925,27.463,"7' 8""",2232.0,290.0,125.0,12.979,0.276,0.584,-0.035,180.0,311.0,30968.0,104.0,-1.622,493.0,728.0
33399,79,5,Adam Hadwin,0.25,13.016,9.364,3.651,52.0,3.651,4281.0,61.0,64.23%,659.0,1026.0,-0.31,40.876,7.188,"8' 1""",2824.5,351.0,114.0,-0.341,-0.007,0.138,0.048,214.0,367.0,33749.0,114.0,2.52,489.0,794.0
33408,143,-5,Tyson Alexander,-0.388,-17.058,-37.209,20.149,44.0,20.149,3688.0,52.0,62.02%,547.0,882.0,-0.32,50.543,-13.595,"8' 3""",2444.667,295.0,123.0,-24.788,-0.563,-0.309,0.027,194.0,335.0,29593.0,98.0,1.176,369.0,678.0
33413,90,-1,Ben Martin,0.124,4.094,3.786,0.306,33.0,0.306,3233.0,46.0,66.93%,506.0,756.0,-0.27,40.412,14.337,"7' 6""",1398.333,187.0,85.0,-2.137,-0.065,0.434,-0.255,151.0,250.0,24735.0,84.0,-8.428,358.0,584.0
33448,34,-7,Justin Thomas,0.714,31.401,48.939,-17.537,44.0,-17.537,3557.0,51.0,65.25%,552.0,846.0,-0.3,29.864,22.743,"7' 3""",2241.583,310.0,67.0,7.087,0.161,0.517,0.434,180.0,294.0,28911.0,94.0,19.112,364.0,650.0
33486,104,-2,Roger Sloan,0.019,0.638,-5.0,5.638,33.0,5.638,3029.0,43.0,67.08%,483.0,720.0,-0.26,54.39,0.632,"7' 2""",1527.333,213.0,35.0,-15.67,-0.475,0.019,0.304,150.0,237.0,23291.0,80.0,10.036,345.0,550.0
33653,59,8,Thomas Detry,0.398,21.904,-11.632,33.538,55.0,33.538,4193.0,60.0,64.04%,657.0,1026.0,-0.32,34.112,-6.544,"7' 11""",2889.417,366.0,73.0,7.917,0.144,-0.119,-0.237,225.0,369.0,34317.0,114.0,-13.023,471.0,784.0
33948,39,-5,Byeong Hun An,0.633,34.204,37.225,-3.021,54.0,-3.021,4129.0,59.0,68.93%,732.0,1062.0,-0.32,40.16,15.332,"7' 4""",2463.0,337.0,141.0,23.186,0.429,0.284,-0.024,188.0,330.0,37041.0,118.0,-1.292,453.0,828.0
33968,88,8,Thorbjørn Olesen,0.137,5.206,-7.03,12.236,38.0,12.236,2959.0,42.0,64.02%,484.0,756.0,-0.3,24.511,-1.859,"7' 4""",1867.667,256.0,129.0,-13.44,-0.354,-0.049,0.218,157.0,272.0,25378.0,84.0,8.268,315.0,576.0
34046,44,-2,Jordan Spieth,0.528,30.101,26.549,3.551,57.0,3.551,4208.0,60.0,66.85%,722.0,1080.0,-0.32,39.06,-4.846,"7' 10""",2929.917,374.0,158.0,28.6,0.502,-0.085,0.049,198.0,358.0,36777.0,120.0,2.797,528.0,840.0
34076,97,0,Joel Dahmen,0.067,3.287,30.133,-26.846,49.0,-26.846,4278.0,61.0,70.59%,737.0,1044.0,-0.25,68.761,22.255,"7' 9""",2150.25,278.0,80.0,17.199,0.351,0.454,-0.191,186.0,307.0,33977.0,116.0,-9.336,526.0,806.0
34098,16,1,Russell Henley,0.982,51.044,33.618,17.426,52.0,17.426,3989.0,57.0,64.23%,659.0,1026.0,-0.31,25.823,19.722,"7' 0""",2483.833,353.0,26.0,-0.991,-0.019,0.379,0.286,236.0,367.0,32877.0,114.0,14.887,553.0,802.0
34099,49,1,Harris English,0.473,27.884,-4.59,32.473,59.0,32.473,4562.0,65.0,65.13%,762.0,1170.0,-0.3,36.28,-13.754,"7' 9""",3231.5,415.0,46.0,9.158,0.155,-0.233,0.0,255.0,408.0,38994.0,130.0,-0.006,587.0,910.0
34213,70,3,Grayson Murray,0.306,10.085,11.354,-1.268,33.0,-1.268,2903.0,41.0,62.43%,427.0,684.0,-0.32,23.341,2.877,"7' 5""",1788.0,240.0,138.0,6.552,0.199,0.087,0.058,147.0,257.0,23064.0,76.0,1.913,339.0,532.0
34255,83,-4,Joseph Bramlett,0.181,8.891,17.712,-8.822,49.0,-8.822,3858.0,55.0,67.84%,635.0,936.0,-0.26,45.827,-0.814,"7' 9""",2399.25,310.0,56.0,12.075,0.246,-0.017,0.132,186.0,301.0,32174.0,104.0,6.451,375.0,716.0
34256,99,-7,Andrew Putnam,0.061,3.41,-16.495,19.904,56.0,19.904,4282.0,61.0,66.18%,679.0,1026.0,-0.27,63.278,1.939,"7' 4""",2737.25,374.0,30.0,-31.808,-0.568,0.035,0.239,222.0,347.0,32099.0,114.0,13.363,524.0,798.0
34310,144,-12,Alexander Björk,-0.427,-14.942,-36.135,21.192,35.0,21.192,2814.0,40.0,61.42%,398.0,648.0,-0.26,35.769,-7.051,"8' 1""",1922.833,239.0,21.0,-19.76,-0.565,-0.201,-0.266,162.0,250.0,19853.0,72.0,-9.323,327.0,494.0
34374,173,-2,Erik Barnes,-1.717,-58.364,-52.451,-5.914,34.0,-5.914,3057.0,43.0,63.53%,446.0,702.0,-0.24,51.107,-14.003,"7' 9""",1635.917,210.0,126.0,-37.37,-1.099,-0.412,-0.032,148.0,256.0,23260.0,77.0,-1.08,286.0,537.0
34466,141,-2,Peter Malnati,-0.373,-19.752,-44.643,24.891,53.0,24.891,4261.0,60.0,60.82%,624.0,1026.0,-0.28,29.174,-16.004,"7' 11""",2837.75,358.0,104.0,-29.621,-0.559,-0.302,0.018,238.0,402.0,33717.0,114.0,0.968,411.0,790.0
34563,77,2,Chesson Hadley,0.265,11.397,-2.958,14.354,43.0,14.354,3359.0,48.0,65.78%,521.0,792.0,-0.29,42.036,-3.909,"7' 8""",2036.583,267.0,82.0,3.133,0.073,-0.091,-0.051,164.0,271.0,26521.0,88.0,-2.182,347.0,608.0
34587,42,18,Chan Kim,0.547,25.699,44.494,-18.796,47.0,-18.796,4163.0,60.0,69.05%,696.0,1008.0,-0.3,69.077,20.802,"6' 11""",1959.25,284.0,16.0,11.509,0.245,0.443,0.259,203.0,312.0,33403.0,112.0,12.168,495.0,772.0
